system:index,mean_NDVI,month,time,year,.geo
156,-0.24433810845554224,Mar,888710400000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,-0.24252424264504083,Apr,891388800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,-0.31551651117783636,May,893980800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,-0.346176641414919,Jun,896659200000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,-0.2769948774901806,Jul,899251200000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,-0.2149754372874049,Aug,901929600000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,-0.24829749385112815,Sep,904608000000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,-0.27608925460397676,Nov,909878400000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,-0.2448299725565983,Dec,912470400000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,-0.3616684743716313,Jan,915148800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,-0.3807114852615726,Feb,917827200000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,-0.11532664149096906,Mar,920246400000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,-0.21575167910958676,Apr,922924800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,-0.2874323725386953,May,925516800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,-0.3399227578521752,Jun,928195200000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,-0.29656587891901026,Jul,930787200000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,-0.2115092816843639,Aug,933465600000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,-0.20108518174689072,Sep,936144000000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,-0.24767908524368118,Oct,938736000000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
