system:index,intervalType,mean_NDVI,time,year,.geo
192,Dec,-0.45787660769593974,1007164800000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,Jan,-0.44840448139613776,1009843200000,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,Feb,-0.2068016430699986,1012521600000,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,Mar,-0.13605301206308934,1014940800000,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,May,-0.30346812727341893,1020211200000,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,Jun,-0.3311657791014494,1022889600000,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,Jun,-0.2984283453550249,1054425600000,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,Jul,-0.235591571782411,1057017600000,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,Aug,-0.1651371476157781,1059696000000,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,Sep,-0.1763003825965079,1062374400000,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,Oct,-0.19809607923010966,1064966400000,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,Jan,-0.5106023948699344,1072915200000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,Feb,-0.14230289737211613,1075593600000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,Mar,-0.22117381285283363,1078099200000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,Apr,-0.19700950049185428,1080777600000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,May,-0.31708040595194525,1083369600000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,Jun,-0.3183766532450115,1086048000000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,Jul,-0.2630891964151685,1088640000000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,Aug,-0.19707620515383908,1091318400000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,Sep,-0.21261937291729985,1093996800000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,Oct,-0.23805369372928942,1096588800000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,Nov,-0.3240307697985969,1099267200000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,Dec,-0.3571778921861794,1101859200000,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,Jan,-0.23130510679832872,1104537600000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,Feb,-0.228116391019036,1107216000000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,Mar,-0.6618884994927612,1109635200000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,Apr,-0.11694246051755174,1112313600000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,May,-0.2993484396089606,1114905600000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,Jun,-0.3526320575620499,1117584000000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,Jul,-0.29613035349213157,1120176000000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,Aug,-0.2245345404245414,1122854400000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,Sep,-0.22537240894099464,1125532800000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,Oct,-0.22124407485689718,1128124800000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,Nov,-0.2115419330762457,1130803200000,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,Jan,-0.534444636848622,1136073600000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,Feb,-0.40491501956408293,1138752000000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,Mar,-0.6037668752624419,1141171200000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,Apr,-0.12574687785808053,1143849600000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,May,-0.24412445013314368,1146441600000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,Jun,-0.32563837505144333,1149120000000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,Jul,-0.2759855083942034,1151712000000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,Aug,-0.19737220269522254,1154390400000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,Sep,-0.21357520049969758,1157068800000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,Oct,-0.22582296564709486,1159660800000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,Dec,-0.3339189560400096,1164931200000,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,Jan,-0.35562005454811346,1167609600000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,Feb,-0.17073264873952668,1170288000000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,Mar,-0.17771693605349057,1172707200000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,Apr,-0.2479360329542649,1175385600000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,May,-0.3063144984268729,1177977600000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,Jun,-0.2994122310768294,1180656000000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,Jul,-0.21748949069325874,1183248000000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,Aug,-0.2315871868901265,1185926400000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,Sep,-0.22974329641915955,1188604800000,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,Mar,-0.27649878945599027,1204329600000,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,May,-0.2948400390286534,1209600000000,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,Jun,-0.33023864863954167,1212278400000,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,Jul,-0.25665631766624913,1214870400000,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,Aug,-0.27553390712525705,1217548800000,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,Sep,-0.25760753870540937,1220227200000,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,Oct,-0.214605325435653,1222819200000,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,Jan,-0.29627018035570934,1230768000000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,Feb,-0.5053038552539667,1233446400000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,Mar,-0.1381025160879156,1235865600000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,Apr,-0.17644429021961125,1238544000000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,May,-0.3047472783480905,1241136000000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,Jun,-0.3274646729625837,1243814400000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,Jul,-0.2940267234895288,1246406400000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,Aug,-0.22219861208467806,1249084800000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,Sep,-0.20266009055428924,1251763200000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,Oct,-0.19126073726251958,1254355200000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,Nov,-0.2397356747311138,1257033600000,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,Jan,-0.32495905661501284,1262304000000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,Feb,-0.7063290525735032,1264982400000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,Mar,-0.3896690598074137,1267401600000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,Apr,-0.16515249137212992,1270080000000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,Jun,-0.32355879664643367,1275350400000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,Jul,-0.3035074345412596,1277942400000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,Aug,-0.268647485648395,1280620800000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,Sep,-0.2543137517343854,1283299200000,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
