State,mean_ndvi,Mean_Sunshine,Year
DESH,0.1595248603509142,167.51341278725226,1992
DESL,0.2200874937047417,161.82942307692306,1992
DESN,0.1890721415217869,172.73643826619966,1992
DEST,0.1603191871861552,170.27337703326052,1992
DETH,0.0886540079352057,155.8109325153374,1992
DEBB,0.1726381119575925,157.43173080183084,1993
DEBE,0.1832515329646886,159.37772778402697,1993
DEBW,0.1661678057723579,159.14531184302734,1993
DEBY,0.1615639936613105,160.40598407281,1993
DEHB,0.1358840362805246,136.25284280936458,1993
DEHE,0.2224084988427794,153.06181965109093,1993
DEHH,0.1324687768320025,144.8892247043364,1993
DEMV,0.1592611342855613,154.61767199930063,1993
DENI,0.1987722531630102,142.79117188158895,1993
DENW,0.200758658280957,148.859174889468,1993
DERP,0.1916297923700904,151.37172830188678,1993
DESH,0.2264774136690599,145.84173964574964,1993
DESL,0.2048834780588311,154.71326923076924,1993
DESN,0.172022933951824,164.22981611208408,1993
DEST,0.1622142586014281,154.15331876669092,1993
DETH,0.2123874769534268,150.16833128834355,1993
DEBB,0.1921614039942777,170.55982030852684,1994
DEBE,0.1847212529477667,177.9168728908886,1994
DEBW,0.2196282838625353,157.67241765942538,1994
DEBY,0.226283072411899,164.5656598407281,1994
DEHB,0.2582572094556193,147.67658862876254,1994
DEHE,0.2618635342836296,154.615824499691,1994
DEHH,0.2714242002783761,164.24980289093298,1994
DEMV,0.1937863754981347,173.97129119678294,1994
DENI,0.2493534480109611,156.0292928228051,1994
DENW,0.2557145731131536,150.9081544813047,1994
DERP,0.2731781954900542,155.2950389937107,1994
DESH,0.2639091826875351,167.19041943767698,1994
DESL,0.2493542219060611,154.1199230769231,1994
DESN,0.2026801973176215,164.44391965849383,1994
DEST,0.2025009795807478,167.79964068948777,1994
DETH,0.2163578884264737,154.50508588957055,1994
DEBB,0.2184078088139164,175.09430411934227,1995
DEBE,0.1162294278380806,179.31451068616423,1995
DEBW,0.1924936838512323,152.57424526979676,1995
DEBY,0.1854390403888573,147.93777730375427,1995
DEHB,0.2127160826008689,168.48494983277592,1995
DEHE,0.2688639969957673,150.84540571374245,1995
DEHH,0.2093249754503832,175.93508541392902,1995
DEMV,0.291264630558204,181.47644024827343,1995
DENI,0.2643597441730017,166.52138820949654,1995
DENW,0.2568476440558455,156.2503089040494,1995
DERP,0.2701265664085582,152.70694842767296,1995
DESH,0.2442864290165543,181.5185158359123,1995
DESL,0.2622543556882301,157.07684615384616,1995
DESN,0.2015468123254661,159.97352780210156,1995
DEST,0.289356162024477,168.7931682447196,1995
DETH,0.2657978272269813,148.7844233128834,1995
DEBB,0.1643281631879423,151.02111883370063,1996
DEBE,0.1365068714770214,154.8970753655793,1996
DEBW,0.1703401439476093,161.20358514365805,1996
DEBY,0.1788105336874084,152.31140642775884,1996
DEHB,0.0531804519601565,146.9732441471572,1996
DEHE,0.1840519318344494,146.22794124637545,1996
DEHH,0.1449842354523704,153.45282522996058,1996
DEMV,0.1615979992364821,158.5853877087158,1996
DENI,0.1435164515594418,146.7514674875601,1996
DENW,0.1596325004735796,146.18914297426286,1996
DERP,0.1643070827526642,152.45980377358492,1996
DESH,0.155877298322064,158.95047079739248,1996
DESL,0.1741583014671825,157.35565384615384,1996
DESN,0.149061585754013,142.65827495621716,1996
DEST,0.1427216394449398,142.5498324836125,1996
DETH,0.1188474044484887,135.6157300613497,1996
DEBB,0.2074122501582276,180.29157484319376,1997
DEBE,0.1590648924096004,183.53880764904383,1997
DEBW,0.2138417264320903,178.99145900490535,1997
DEBY,0.1912545668674318,173.3571032423208,1997
DEHB,0.1953231366373506,166.19297658862877,1997
DEHE,0.2197542052204308,166.30920758663308,1997
DEHH,0.1894203112213112,165.38173455978975,1997
DEMV,0.2449758688000763,178.51863362182007,1997
DENI,0.2348189548286966,166.27458674200892,1997
DENW,0.2190252288171684,164.34266975082713,1997
DERP,0.2253434704799115,171.15925534591196,1997
DESH,0.273611680825768,174.4864423520116,1997
DESL,0.2572727309997979,181.2634230769231,1997
DESN,0.2029995824291557,172.8394647548161,1997
DEST,0.2131071423358613,174.70381160475844,1997
DETH,0.2005227896596041,162.66723926380365,1997
DEBB,0.2425433766458411,149.11709781318868,1998
DEBE,0.1870939902080642,149.75748031496062,1998
DEBW,0.2035259532524265,161.62713384723196,1998
DEBY,0.1943620194577869,155.97499857792948,1998
DEHB,0.1801207917883188,130.7066889632107,1998
DEHE,0.2409678695520759,134.02658173693968,1998
DEHH,0.1879814834343381,130.046123521682,1998
DEMV,0.2433578649596482,143.2614301949471,1998
DENI,0.1825722039718058,128.7968963481488,1998
DENW,0.1758680133129934,126.88150089304015,1998
DERP,0.2419051004796495,138.7028477987421,1998
DESH,0.1763761475552615,137.8879502205834,1998
DESL,0.2040582110166082,144.7070769230769,1998
DESN,0.2671446427798616,151.02776379159369,1998
DEST,0.1927021105772351,144.20778344258318,1998
DETH,0.2170097300126176,137.65181595092022,1998
DEBB,0.1731713959940611,174.17332768265803,1999
DEBE,0.1333142310048869,178.31282339707536,1999
